id,task,framework,constraint,version,fold,type,metric,utc,training_duration,predict_duration,result
id/0,MLDoc-11000,ablation_gradient_clip,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T11:15:13,2771.4,58.2,0.40025
id/0,gnad10,ablation_gradient_clip,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T11:15:10,2576.0,44.8,0.196498054474708
id/0,MultiATIS-5000,ablation_gradient_clip,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T11:15:08,845.8,39.3,0.723905723905724
id/0,fb_dialog,ablation_gradient_clip,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T11:15:13,6037.7,49.4,0.473265803308116
id/0,SNIPS,ablation_gradient_clip,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T11:15:11,3198.7,39.2,0.515714285714286
id/0,ag_news,ablation_gradient_clip,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T11:12:12,24678.6,49.7,0.633157894736842
id/0,financial_news,ablation_warmup_steps,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T11:24:18,1213.8,40.6,0.592363261093911
id/0,MLDoc-11000,ablation_warmup_steps,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T11:29:18,2813.0,58.0,0.3895
id/0,gnad10,ablation_warmup_steps,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T11:29:20,2579.9,44.9,0.195525291828794
id/0,MultiATIS-5000,ablation_warmup_steps,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T11:29:16,1021.1,39.5,0.723905723905724
id/0,fb_dialog,ablation_warmup_steps,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T11:29:16,3483.2,50.0,0.459033209385819
id/0,SNIPS,ablation_warmup_steps,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T11:29:15,3348.6,39.4,0.465714285714286
id/0,ag_news,ablation_warmup_steps,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T11:29:20,24102.0,49.4,0.625
id/0,financial_news,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T13:34:01,1111.7,40.8,0.587203302373581
id/0,MLDoc-11000,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T13:34:06,2831.4,58.2,0.383
id/0,gnad10,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T13:34:04,2508.9,45.1,0.170233463035019
id/0,MultiATIS-5000,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T13:34:03,1419.3,39.6,0.723905723905724
id/0,fb_dialog,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T13:34:04,4094.9,50.5,0.459033209385819
id/0,SNIPS,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T13:35:34,3253.5,39.2,0.511428571428572
id/0,ag_news,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T13:36:38,25129.1,49.7,0.594342105263158
id/0,financial_news,ablation_weight_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T13:49:26,1101.9,40.7,0.587203302373581
id/0,MLDoc-11000,ablation_weight_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T13:49:30,2855.7,58.6,0.383
id/0,gnad10,ablation_weight_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T13:49:31,2502.7,45.3,0.170233463035019
id/0,MultiATIS-5000,ablation_weight_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T13:49:28,1420.2,39.6,0.723905723905724
id/0,fb_dialog,ablation_weight_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T13:49:29,4060.4,50.1,0.459033209385819
id/0,SNIPS,ablation_weight_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T13:49:58,3201.5,39.2,0.511428571428572
id/0,ag_news,ablation_weight_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T13:52:01,24840.3,50.0,0.594342105263158
id/0,financial_news,ablation_lr_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T14:04:59,1239.5,40.9,0.879256965944273
id/0,MLDoc-11000,ablation_lr_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T14:05:04,2783.4,58.1,0.97875
